"objectId","createdAt","updatedAt","description","descriptionLong","target","redeemTimeLength","vendorId","expireDate","latitude","longitude"
"XBLFXF46XO","02/01/2013 05:39:09","03/04/2013 07:49:16","Free soft drink","Costs 10 RewardCat Coins for a free soft drink","10","300","bcyXX3p4Uh","04/30/2013 16:00:00","37.3354142","-122.0150292"
"1UMTBe9wLo","02/01/2013 05:39:09","03/04/2013 07:49:26","Free cold dish","Costs 10 RewardCat Coins for a free cold dish with any purchase","10","300","54Q65pu2KK","04/30/2013 16:00:00","37.3342966","-122.0143745"
"fSgChUYYUG","02/01/2013 05:39:09","03/04/2013 07:49:42","Free cold dish","Costs 20 RewardCat Coins for a free cold dish","20","300","bcyXX3p4Uh","04/30/2013 16:00:00","37.3354142","-122.0150292"
"U4LQzzv2sA","02/01/2013 05:39:09","03/04/2013 07:49:52","Free auto diagnostic","Costs 50 RewardCat Coins for a free car diagnostic","50","300","bddh2nK0sR","04/30/2013 16:00:00","37.35166","-122.003581"
"Y0aMgMbZi6","02/01/2013 05:39:09","03/04/2013 07:50:05","Free soft drink","Costs 10 RewardCat Coins for a free soft drink","10","300","KePt2apWWd","04/30/2013 16:00:00","37.4039074","-121.9944546"
"FHmdEAutPn","03/04/2013 07:50:54","03/16/2013 20:09:03","Free drink","Costs 10 RewardCat Coins for a free drink","10","300","Ql7hcFyhBv","06/04/2013 16:00:00","37.500668","-121.973083"
"WeX3dFJI1V","03/11/2013 00:49:12","03/11/2013 07:10:40","Free classes (2 weeks)","Costs 25 RewardCat Coins for 2 weeks of free classes from the Grand Master Champion ","25","300","SfeH00H8NZ","06/11/2013 16:00:00","37.352457","-121.961725"
"q9rtddsiHv","03/11/2013 00:58:33","03/27/2013 19:45:16","Free gift","Costs 10 RewardCat Coins for free gift (with any purchase)","10","300","z4uIl2RJEb","06/11/2013 16:00:00","37.33569","-122.014341"
"X5oT9XvGNR","03/11/2013 02:20:54","03/11/2013 07:07:35","Free jerky","Costs 10 RewardCat Coins for a free jerky (any kind; limit to 5 pieces)","10","300","kQdzhozVEh","06/11/2013 16:00:00","37.334305","-122.014374"
"9utxXIoHK1","03/11/2013 00:56:15","03/11/2013 07:12:16","Free shoe polish","Costs 10 RewardCat Coins for free shoe polish (with shoe repair service)","10","300","Ztu5g0hLFU","06/11/2013 16:00:00","37.376568","-122.030399"
"pnwxAHTx5P","03/22/2013 06:48:44","03/23/2013 02:46:56","Free dental exam","Costs 15 coins for a free dental exam including necessary X-Rays. A $200 value!","15","300","2qQCpXfEXv","06/01/2013 16:00:00","37.318861","-122.0294193"
"6MUbBoxFED","03/22/2013 06:50:49","03/23/2013 02:40:31","Free jewelry cleaning","Costs 10 coins for free jewelry cleaning (max 2 pieces per customer).","10","300","MtqeX6XpQ3","06/21/2013 16:00:00","37.3760076","-122.0299998"
"Ian48lwZ8D","03/22/2013 06:52:57","03/23/2013 02:05:20","Free screen protector or car charger","Costs 10 coins for a free screen protector or car charger when you bring in both your phone and bill.","10","300","7Kgt5UCFEJ","06/01/2013 16:00:00","37.3827","-121.9955023"
"THt1h2K7as","03/31/2013 00:53:25","03/31/2013 01:06:30","Free round of golf","Spend 15 coins to enjoy a free round of mini golf!","15","300","IqH3s4MaBS","06/30/2013 16:00:00","37.3548029","-122.015288"
