user_date,total_scans,total_scanners,total_stores
2013-02-07 00:00:00,19,10,1
2013-02-08 00:00:00,16,8,1
2013-02-09 00:00:00,18,9,1
2013-02-10 00:00:00,10,5,1
2013-02-11 00:00:00,4,2,1
2013-02-12 00:00:00,10,5,1
2013-02-13 00:00:00,11,7,2
2013-02-14 00:00:00,10,5,1
2013-02-15 00:00:00,42,21,1
2013-02-16 00:00:00,2,1,2
2013-02-17 00:00:00,10,5,1
2013-02-18 00:00:00,15,7,2
2013-02-19 00:00:00,15,8,1
2013-02-20 00:00:00,13,7,2
2013-02-21 00:00:00,10,5,1
2013-02-22 00:00:00,24,14,1
2013-02-23 00:00:00,9,5,1
2013-02-24 00:00:00,6,3,1
2013-02-25 00:00:00,21,11,1
2013-02-26 00:00:00,18,9,1
2013-02-27 00:00:00,14,7,1
2013-02-28 00:00:00,16,8,2
2013-03-01 00:00:00,15,9,1
2013-03-02 00:00:00,13,7,1
2013-03-03 00:00:00,9,5,1
2013-03-04 00:00:00,18,9,1
2013-03-05 00:00:00,29,15,2
2013-03-06 00:00:00,8,4,1
2013-03-07 00:00:00,9,5,2
2013-03-08 00:00:00,25,16,2
2013-03-09 00:00:00,13,8,3
2013-03-10 00:00:00,11,7,1
2013-03-11 00:00:00,27,15,2
2013-03-12 00:00:00,22,11,1
2013-03-13 00:00:00,18,10,1
2013-03-14 00:00:00,19,10,1
2013-03-15 00:00:00,22,14,3
2013-03-16 00:00:00,10,5,1
2013-03-17 00:00:00,6,3,1
2013-03-18 00:00:00,21,11,1
2013-03-19 00:00:00,14,7,1
2013-03-20 00:00:00,5,3,1
2013-03-21 00:00:00,14,8,1
2013-03-22 00:00:00,5,4,1
2013-03-23 00:00:00,9,9,2
2013-03-24 00:00:00,19,18,2
2013-03-25 00:00:00,15,13,2
2013-03-26 00:00:00,11,6,1
2013-03-27 00:00:00,3,3,1
2013-03-28 00:00:00,12,10,1
2013-03-29 00:00:00,6,5,2
2013-03-30 00:00:00,11,10,3
2013-03-31 00:00:00,9,9,1
2013-04-01 00:00:00,7,7,2
2013-04-02 00:00:00,4,3,2
2013-04-03 00:00:00,6,4,3
2013-04-04 00:00:00,10,9,1
2013-04-05 00:00:00,14,13,1
2013-04-06 00:00:00,9,9,2
2013-04-07 00:00:00,8,7,1
2013-04-08 00:00:00,7,7,2
2013-04-09 00:00:00,9,9,2
2013-04-10 00:00:00,9,8,2
2013-04-11 00:00:00,6,5,1
2013-04-12 00:00:00,14,13,3
2013-04-13 00:00:00,6,6,2
2013-04-14 00:00:00,5,5,2
2013-04-15 00:00:00,7,6,4
2013-04-16 00:00:00,7,7,2
2013-04-17 00:00:00,9,7,2
2013-04-18 00:00:00,20,10,4
2013-04-19 00:00:00,22,13,5
2013-04-20 00:00:00,8,6,4
2013-04-21 00:00:00,1,1,1
2013-04-22 00:00:00,12,9,2
2013-04-23 00:00:00,8,8,3
2013-04-24 00:00:00,4,4,2
2013-04-25 00:00:00,5,5,3
2013-04-26 00:00:00,15,12,4
2013-04-27 00:00:00,5,5,1
2013-04-28 00:00:00,14,11,5
2013-04-29 00:00:00,11,10,2
