"snapshot_date","name","distinct_engaged_users"
"2013-04-29","Ai Noodle","7"
"2013-04-29","Beauty Studio","9"
"2013-04-29","Cafe 97","2"
"2013-04-29","Chaat Paradise Vegetarian Restaurant","1"
"2013-04-29","Coco Coffee Milk Tea & Snacks","6"
"2013-04-29","Coco Ice Cream","1"
"2013-04-29","Gobi Mongolian BBQ","197"
"2013-04-29","Golfland USA","33"
"2013-04-29","Guandong House","4"
"2013-04-29","Hometown Massage","1"
"2013-04-29","Lovely Sweets & Snacks","3"
"2013-04-29","Oregano's Wood-Fired Pizza","1"
"2013-04-29","Pho Anh Dao Bistro","1"
"2013-04-29","Pro Cuts","2"
"2013-04-29","Real Ice Cream, Inc.","1"
"2013-04-29","Red Hot Wok","5"
"2013-04-29","Souren Master Shoe Repair","1"
"2013-04-29","Susan's Donut","20"
"2013-04-29","Sweetheart Cafe","5"
